============================================================
JMdict Multilingual Import
============================================================
Source: data/JMdict_e
Target: data/dictionary_full_multilingual.sqlite

Creating database: data/dictionary_full_multilingual.sqlite
Parsing XML: data/JMdict_e
Imported 161000 entries, 189957 senses (CN-simp: 0, CN-trad: 0)...
Imported 162000 entries, 191077 senses (CN-simp: 0, CN-trad: 0)...
Imported 163000 entries, 192188 senses (CN-simp: 0, CN-trad: 0)...
Imported 164000 entries, 193270 senses (CN-simp: 0, CN-trad: 0)...
Imported 165000 entries, 194366 senses (CN-simp: 0, CN-trad: 0)...
Imported 166000 entries, 195465 senses (CN-simp: 0, CN-trad: 0)...
Imported 167000 entries, 196545 senses (CN-simp: 0, CN-trad: 0)...
Imported 168000 entries, 197654 senses (CN-simp: 0, CN-trad: 0)...
Imported 169000 entries, 198748 senses (CN-simp: 0, CN-trad: 0)...
Imported 170000 entries, 199821 senses (CN-simp: 0, CN-trad: 0)...
Imported 171000 entries, 200892 senses (CN-simp: 0, CN-trad: 0)...
Imported 172000 entries, 201966 senses (CN-simp: 0, CN-trad: 0)...
Imported 173000 entries, 203036 senses (CN-simp: 0, CN-trad: 0)...
Imported 174000 entries, 204146 senses (CN-simp: 0, CN-trad: 0)...
Imported 175000 entries, 205235 senses (CN-simp: 0, CN-trad: 0)...
Imported 176000 entries, 206309 senses (CN-simp: 0, CN-trad: 0)...
Imported 177000 entries, 207404 senses (CN-simp: 0, CN-trad: 0)...
Imported 178000 entries, 208481 senses (CN-simp: 0, CN-trad: 0)...
Imported 179000 entries, 209562 senses (CN-simp: 0, CN-trad: 0)...
Imported 180000 entries, 210623 senses (CN-simp: 0, CN-trad: 0)...
Imported 181000 entries, 211688 senses (CN-simp: 0, CN-trad: 0)...
Imported 182000 entries, 212775 senses (CN-simp: 0, CN-trad: 0)...
Imported 183000 entries, 213877 senses (CN-simp: 0, CN-trad: 0)...
Imported 184000 entries, 215035 senses (CN-simp: 0, CN-trad: 0)...
Imported 185000 entries, 216149 senses (CN-simp: 0, CN-trad: 0)...
Imported 186000 entries, 217235 senses (CN-simp: 0, CN-trad: 0)...
Imported 187000 entries, 218333 senses (CN-simp: 0, CN-trad: 0)...
Imported 188000 entries, 219413 senses (CN-simp: 0, CN-trad: 0)...
Imported 189000 entries, 220487 senses (CN-simp: 0, CN-trad: 0)...
Imported 190000 entries, 221576 senses (CN-simp: 0, CN-trad: 0)...
Imported 191000 entries, 222661 senses (CN-simp: 0, CN-trad: 0)...
Imported 192000 entries, 223740 senses (CN-simp: 0, CN-trad: 0)...
Imported 193000 entries, 224798 senses (CN-simp: 0, CN-trad: 0)...
Imported 194000 entries, 225840 senses (CN-simp: 0, CN-trad: 0)...
Imported 195000 entries, 226923 senses (CN-simp: 0, CN-trad: 0)...
Imported 196000 entries, 227995 senses (CN-simp: 0, CN-trad: 0)...
Imported 197000 entries, 229057 senses (CN-simp: 0, CN-trad: 0)...
